KICID,window,dur1,dur2,ecosw,esinw,ecc,$a_1$,$t_1$,$\sigma_1$,$a_2$,$t_2$,$\sigma_2$,$P_{orb}$
KIC 2854948,11,0.10472247704093163,7.809238927569684e-05,0.30436937650040435,-0.9985096953251252,1.043868923289471,0.03346824125790608,0.20718366570239377,0.016944110776383282,0.009104497878447602,-0.468754930054167,1.2635359018126978e-05,0.9743012380904907
KIC 2860788,11,0.36350137523836357,5.802434038804094e-08,-0.4630071526840966,-0.9999996807476665,1.1019868351899986,0.09966995338268378,0.5552266727980728,0.05881457107817574,0.032123224248153545,0.015480983370936277,9.388346026733447e-09,2.629820677938687
KIC 2997455,11,0.1064574974478607,0.10760601577867737,8.824171034467892e-05,0.005365315711702761,0.005366041304881007,0.004405781784285664,-0.8524913103764633,0.01722483731002708,0.004072392224439758,0.2774537415912012,0.017410667729397866,2.259636227398873
KIC 3003991,41,0.20930315189191528,0.22357403233255724,-0.00010377598730407659,0.03296750431928931,0.03296766765329177,0.09515365534195766,0.34719604436765567,0.033865277939487896,0.004473657581793477,-3.2747755503999376,0.0361743083014058,7.244900470484243
KIC 3097352,71,0.2652313701736393,0.23060410425719935,0.0009316313226644334,-0.06983620112334198,0.06984241493720875,0.0893208464677567,1.2972751200882247,0.04291447112960767,0.004323619918303993,-0.72001937131202,0.037311774878046426,4.0298088644637655
KIC 3102024,31,0.4111862571899576,0.04574013760820772,-0.597871410017338,-0.799792097243968,0.9985577708525556,0.12643219428360625,0.44841118799432345,0.0665299913487521,0.36708194940268557,1.0108166602067166,0.007400760375994169,4.710924889367149
KIC 3114667,21,0.1129909147136591,0.11408341716053805,-0.26180354201509476,0.004811210663318037,0.2618477465239988,0.19269509664080794,0.09973663230630873,0.01828194509651262,0.19227928681606893,0.5440264292947441,0.018458712138378443,1.332879965992342
KIC 3115480,11,0.18510721029003055,0.929277245377676,-0.2590988139425492,0.6677857280787002,0.7162890296605383,0.019073045378281313,-0.009725271316498989,0.029950371355670247,1.1141587666762455e-05,-0.6284715978331905,0.1503571824556565,1.8467141521586532
KIC 3120320,21,0.3061587349646575,1.46941025966177,-0.4716634333375671,0.6551429588022604,0.8072661833719792,0.0828768036140615,0.8220530973564939,0.04953652422078325,7.157106407159277e-05,-0.14727903756819374,0.23775077632981917,4.853219013060294
KIC 3122985,11,0.11685585321556191,0.1116682262808247,-0.2618212893196295,-0.02270057031263124,0.26280354532142797,0.02343819498418697,1.0887992159274251,0.018907292662485024,0.02241370648728918,0.0953795951003409,0.01806793393136584,2.9803835284161786
KIC 3231120,11,0.21621434617956314,0.21825358396100647,-1.3828120640981702e-05,0.004693643972256954,0.004693664341985321,0.07093295250795312,-1.2454059847902879,0.03498351009858053,0.07092524397144616,2.6546588224989103,0.03531345904406484,7.800266950056685
KIC 3241344,31,0.2111623186324818,0.5733798009949376,-0.6692610572956504,0.46169284389023457,0.8130625098428438,0.30182042824619204,1.9158397396283107,0.03416609136650044,6.608803050358915e-11,1.6265525336474607,0.0927729284058233,3.912713996379175
KIC 3241619,11,0.151098037845373,0.14919513523439543,0.2614914099884509,-0.0063368160902951085,0.2615681798994487,0.3494613557395194,0.8583122295428651,0.02444768271042206,0.3472190676681107,-0.8444425565674971,0.024139792813733768,2.55488356312883
KIC 3248019,11,0.16571117363296262,0.16542251756433593,-0.26171761414930184,-0.0008717206261399069,0.26171906589481186,0.04709390309256163,1.5492723659029233,0.026812090033202125,0.04755122036347936,0.21495637555558772,0.02676538544273325,4.002322903591608
KIC 3335816,61,0.2080481984318765,0.0624551050585182,-0.5141842267295711,-0.5382303709223579,0.7443637223835576,0.019899616372102472,0.8175069709342635,0.03366222630198899,6.58139499504062e-11,0.1768584237327955,0.010105244342611992,3.710459709682549
KIC 3339538,21,0.16787449496372514,0.47591524421577147,-0.642710789135082,0.4784803647921465,0.8012618909958624,0.0691364620153598,0.5697785924800727,0.027162115713544155,0.0001172294034418626,0.14207067588623676,0.0770031500974683,4.708489645981894
KIC 3344427,21,0.3771558476987902,0.20294084264978757,0.12086177904829683,-0.30032063265921666,0.3237283614939406,0.06536371291688947,0.32576969035359415,0.06102386654654127,0.1783565595158353,-0.05015145483130312,0.03283585545409268,0.6515741525851659
